date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:21:08	118/118	---MC-	200	added ('OK')	text/plain	date:Wed,%2003%20Jan%202024%2005:51:07%20GMT	https://thepixelcurve.com/robots.txt		(from )
11:21:08	67309/67309	---M--	200	added ('OK')	text/html	date:Sun,%2005%20Apr%202020%2015:39:50%20GMT	https://thepixelcurve.com/html/edubin/	C:/Users/LENOVO/Downloads/codevo/thepixelcurve.com/html/edubin/index.html	(from )
11:21:09	1164/1164	---M--	200	added ('OK')	image/png	date:Sat,%2011%20May%202019%2019:05:00%20GMT	https://thepixelcurve.com/html/edubin/images/favicon.png	C:/Users/LENOVO/Downloads/codevo/thepixelcurve.com/html/edubin/images/favicon.png	(from https://thepixelcurve.com/html/edubin/)
11:21:09	1776/1776	---M--	200	added ('OK')	text/css	date:Tue,%2003%20Oct%202017%2011:49:30%20GMT	https://thepixelcurve.com/html/edubin/css/slick.css	C:/Users/LENOVO/Downloads/codevo/thepixelcurve.com/html/edubin/css/slick.css	(from https://thepixelcurve.com/html/edubin/)
11:21:10	4007/4007	---M--	200	added ('OK')	text/css	date:Sun,%2008%20May%202016%2022:32:26%20GMT	https://thepixelcurve.com/html/edubin/css/nice-select.css	C:/Users/LENOVO/Downloads/codevo/thepixelcurve.com/html/edubin/css/nice-select.css	(from https://thepixelcurve.com/html/edubin/)
11:21:10	77749/77749	---M--	200	added ('OK')	text/css	date:Tue,%2025%20Dec%202018%2015:22:30%20GMT	https://thepixelcurve.com/html/edubin/css/animate.css	C:/Users/LENOVO/Downloads/codevo/thepixelcurve.com/html/edubin/css/animate.css	(from https://thepixelcurve.com/html/edubin/)
11:21:10	300/300	---M--	200	added ('OK')	text/css	date:Fri,%2002%20Feb%202018%2018:25:08%20GMT	https://thepixelcurve.com/html/edubin/css/jquery.nice-number.min.css	C:/Users/LENOVO/Downloads/codevo/thepixelcurve.com/html/edubin/css/jquery.nice-number.min.css	(from https://thepixelcurve.com/html/edubin/)
11:21:10	6951/6951	---M--	200	added ('OK')	text/css	date:Mon,%2005%20Jun%202017%2002:11:48%20GMT	https://thepixelcurve.com/html/edubin/css/magnific-popup.css	C:/Users/LENOVO/Downloads/codevo/thepixelcurve.com/html/edubin/css/magnific-popup.css	(from https://thepixelcurve.com/html/edubin/)
11:21:11	31000/31000	---M--	200	added ('OK')	text/css	date:Mon,%2025%20Jun%202018%2010:53:12%20GMT	https://thepixelcurve.com/html/edubin/css/font-awesome.min.css	C:/Users/LENOVO/Downloads/codevo/thepixelcurve.com/html/edubin/css/font-awesome.min.css	(from https://thepixelcurve.com/html/edubin/)
11:21:11	157215/157215	---M--	200	added ('OK')	text/css	date:Fri,%2010%20May%202019%2018:28:44%20GMT	https://thepixelcurve.com/html/edubin/css/bootstrap.min.css	C:/Users/LENOVO/Downloads/codevo/thepixelcurve.com/html/edubin/css/bootstrap.min.css	(from https://thepixelcurve.com/html/edubin/)
11:21:12	11544/11544	---M--	200	added ('OK')	text/css	date:Sun,%2005%20Apr%202020%2016:07:16%20GMT	https://thepixelcurve.com/html/edubin/css/default.css	C:/Users/LENOVO/Downloads/codevo/thepixelcurve.com/html/edubin/css/default.css	(from https://thepixelcurve.com/html/edubin/)
11:21:14	26719/26719	---M--	200	added ('OK')	text/css	date:Fri,%2010%20May%202019%2018:28:44%20GMT	https://thepixelcurve.com/html/edubin/css/responsive.css	C:/Users/LENOVO/Downloads/codevo/thepixelcurve.com/html/edubin/css/responsive.css	(from https://thepixelcurve.com/html/edubin/)
11:21:14	21469/21469	---M--	200	added ('OK')	text/html	date:Sun,%2005%20Apr%202020%2015:40:51%20GMT	https://thepixelcurve.com/html/edubin/register.html	C:/Users/LENOVO/Downloads/codevo/thepixelcurve.com/html/edubin/register.html	(from https://thepixelcurve.com/html/edubin/)
11:21:14	96351/96351	---M--	200	added ('OK')	text/css	date:Sun,%2005%20Apr%202020%2016:12:07%20GMT	https://thepixelcurve.com/html/edubin/css/style.css	C:/Users/LENOVO/Downloads/codevo/thepixelcurve.com/html/edubin/css/style.css	(from https://thepixelcurve.com/html/edubin/)
11:21:15	2481/2481	---M--	200	added ('OK')	image/png	date:Sat,%2011%20May%202019%2019:05:05%20GMT	https://thepixelcurve.com/html/edubin/images/logo.png	C:/Users/LENOVO/Downloads/codevo/thepixelcurve.com/html/edubin/images/logo.png	(from https://thepixelcurve.com/html/edubin/)
11:21:15	64771/64771	---M--	200	added ('OK')	text/html	date:Sun,%2005%20Apr%202020%2015:39:50%20GMT	https://thepixelcurve.com/html/edubin/index-4.html	C:/Users/LENOVO/Downloads/codevo/thepixelcurve.com/html/edubin/index-4.html	(from https://thepixelcurve.com/html/edubin/)
11:21:16	54176/54176	---M--	200	added ('OK')	text/html	date:Sun,%2005%20Apr%202020%2015:39:50%20GMT	https://thepixelcurve.com/html/edubin/index-2.html	C:/Users/LENOVO/Downloads/codevo/thepixelcurve.com/html/edubin/index-3.html	(from https://thepixelcurve.com/html/edubin/)
11:21:16	22054/22054	---M--	200	added ('OK')	text/html	date:Sun,%2005%20Apr%202020%2015:39:50%20GMT	https://thepixelcurve.com/html/edubin/gallery.html	C:/Users/LENOVO/Downloads/codevo/thepixelcurve.com/html/edubin/gallery.html	(from https://thepixelcurve.com/html/edubin/)
11:21:16	33880/33880	---M--	200	added ('OK')	text/html	date:Sun,%2005%20Apr%202020%2015:40:51%20GMT	https://thepixelcurve.com/html/edubin/about.html	C:/Users/LENOVO/Downloads/codevo/thepixelcurve.com/html/edubin/about.html	(from https://thepixelcurve.com/html/edubin/)
11:21:16	51571/51571	---M--	200	added ('OK')	text/html	date:Sun,%2005%20Apr%202020%2015:39:50%20GMT	https://thepixelcurve.com/html/edubin/index-3.html	C:/Users/LENOVO/Downloads/codevo/thepixelcurve.com/html/edubin/index-5.html	(from https://thepixelcurve.com/html/edubin/)
11:21:16	22151/22151	---M--	200	added ('OK')	text/html	date:Sun,%2005%20Apr%202020%2015:40:51%20GMT	https://thepixelcurve.com/html/edubin/policy.html	C:/Users/LENOVO/Downloads/codevo/thepixelcurve.com/html/edubin/policy.html	(from https://thepixelcurve.com/html/edubin/)
11:21:17	32648/32648	---M--	200	added ('OK')	text/html	date:Sun,%2005%20Apr%202020%2015:40:51%20GMT	https://thepixelcurve.com/html/edubin/faq.html	C:/Users/LENOVO/Downloads/codevo/thepixelcurve.com/html/edubin/faq.html	(from https://thepixelcurve.com/html/edubin/)
11:21:17	48192/48192	---M--	200	added ('OK')	text/html	date:Sun,%2005%20Apr%202020%2015:39:50%20GMT	https://thepixelcurve.com/html/edubin/courses.html	C:/Users/LENOVO/Downloads/codevo/thepixelcurve.com/html/edubin/courses.html	(from https://thepixelcurve.com/html/edubin/)
11:21:17	25720/25720	---M--	200	added ('OK')	text/html	date:Sun,%2005%20Apr%202020%2015:39:50%20GMT	https://thepixelcurve.com/html/edubin/events.html	C:/Users/LENOVO/Downloads/codevo/thepixelcurve.com/html/edubin/events.html	(from https://thepixelcurve.com/html/edubin/)
11:21:18	25343/25343	---M--	200	added ('OK')	text/html	date:Sun,%2005%20Apr%202020%2015:39:50%20GMT	https://thepixelcurve.com/html/edubin/events-2.html	C:/Users/LENOVO/Downloads/codevo/thepixelcurve.com/html/edubin/events-2.html	(from https://thepixelcurve.com/html/edubin/)
11:21:18	23930/23930	---M--	200	added ('OK')	text/html	date:Sun,%2005%20Apr%202020%2015:39:50%20GMT	https://thepixelcurve.com/html/edubin/events-single.html	C:/Users/LENOVO/Downloads/codevo/thepixelcurve.com/html/edubin/events-single.html	(from https://thepixelcurve.com/html/edubin/)
11:21:18	67309/67309	---M--	200	added ('OK')	text/html	date:Sun,%2005%20Apr%202020%2015:39:50%20GMT	https://thepixelcurve.com/html/edubin/index.html	C:/Users/LENOVO/Downloads/codevo/thepixelcurve.com/html/edubin/index-2.html	(from https://thepixelcurve.com/html/edubin/)
11:21:19	25168/25168	---M--	200	added ('OK')	text/html	date:Sun,%2005%20Apr%202020%2015:39:50%20GMT	https://thepixelcurve.com/html/edubin/teachers.html	C:/Users/LENOVO/Downloads/codevo/thepixelcurve.com/html/edubin/teachers.html	(from https://thepixelcurve.com/html/edubin/)
11:21:19	31206/31206	---M--	200	added ('OK')	text/html	date:Sun,%2005%20Apr%202020%2015:39:50%20GMT	https://thepixelcurve.com/html/edubin/teachers-2.html	C:/Users/LENOVO/Downloads/codevo/thepixelcurve.com/html/edubin/teachers-2.html	(from https://thepixelcurve.com/html/edubin/)
11:21:19	40274/40274	---M--	200	added ('OK')	text/html	date:Sun,%2005%20Apr%202020%2015:39:50%20GMT	https://thepixelcurve.com/html/edubin/teachers-single.html	C:/Users/LENOVO/Downloads/codevo/thepixelcurve.com/html/edubin/teachers-single.html	(from https://thepixelcurve.com/html/edubin/)
11:21:19	27327/27327	---M--	200	added ('OK')	text/html	date:Sun,%2005%20Apr%202020%2015:39:50%20GMT	https://thepixelcurve.com/html/edubin/blog.html	C:/Users/LENOVO/Downloads/codevo/thepixelcurve.com/html/edubin/blog.html	(from https://thepixelcurve.com/html/edubin/)
11:21:20	59112/59112	---M--	200	added ('OK')	text/html	date:Sun,%2005%20Apr%202020%2015:39:50%20GMT	https://thepixelcurve.com/html/edubin/courses-single.html	C:/Users/LENOVO/Downloads/codevo/thepixelcurve.com/html/edubin/courses-single.html	(from https://thepixelcurve.com/html/edubin/)
11:21:20	33324/33324	---M--	200	added ('OK')	text/html	date:Sun,%2005%20Apr%202020%2015:39:50%20GMT	https://thepixelcurve.com/html/edubin/blog-single.html	C:/Users/LENOVO/Downloads/codevo/thepixelcurve.com/html/edubin/blog-single.html	(from https://thepixelcurve.com/html/edubin/)
11:21:20	46940/46940	---M--	200	added ('OK')	text/html	date:Sun,%2005%20Apr%202020%2015:39:50%20GMT	https://thepixelcurve.com/html/edubin/shop.html	C:/Users/LENOVO/Downloads/codevo/thepixelcurve.com/html/edubin/shop.html	(from https://thepixelcurve.com/html/edubin/)
11:21:21	25315/25315	---M--	200	added ('OK')	text/html	date:Sun,%2005%20Apr%202020%2015:39:50%20GMT	https://thepixelcurve.com/html/edubin/contact.html	C:/Users/LENOVO/Downloads/codevo/thepixelcurve.com/html/edubin/contact.html	(from https://thepixelcurve.com/html/edubin/)
